title,content,time,provider,url
「把25年前韓國瑜打人事件當英雄看」陳水扁批：吳敦義「災難政治學」的表現,"國民黨主席吳敦義日前提到高雄市長候選人韓國瑜過去打陳水扁，表示「很認同跟敬佩」並形容「允文允武」。前總統陳水扁今（22）日在《新勇哥物語》質疑，這是「災難政治學」的表現，反批吳敦義以為高雄市長贏定了，得意忘形的囂張之情溢於言表。
《新勇哥物語》今天刊出，陳水扁借勇哥表示，不相信吳敦義會講鼓勵暴力的話，也不相信吳敦義主席會認為，當年韓國瑜公然在國會殿堂打阿扁打到住院是對的。
陳水扁指出，吳敦義的發言，是「災難政治學」的表現，他批評吳敦義還真的以為他提名韓國瑜參選高雄市長贏定了，得意忘形的囂張之情溢於言表，竟把25年前的打人事件拿出來捧為文武雙全的英雄看待。「是非不明，黑白不分，不是很可怕嗎？！」
陳水扁也在文中還原，1993年5月韓國瑜推倒他導致受傷住院，隔天有幫派份子聚集到立法院，衝突場面導致10多人受傷掛彩，韓國瑜遭到質疑找黑道兄弟助陣，風波一度越演越烈。韓國瑜後來也道歉，「我願意為我肢體衝突，向陳水扁委員致歉。」
陳水扁表示，當時他是在幫榮民講話，因為他對政府的榮民就養照護問題向退輔會提出質詢，認為「不能把榮民當豬養，不是說榮民是豬」。韓國瑜聽到「豬」就抓狂，這跟扁小時候家裡養豬賣錢供給讀書，生活經驗完全不同。（推薦閱讀：普悠瑪翻車慘劇》吳敦義籲所有九合一選舉候選人暫停選舉活動）
相關報導● 吳敦義因韓國瑜「打扁」才提名選高雄？段宜康酸：乾脆提名殺過人的！● 強力反擊韓國瑜 洪耀福：愛河水臭、自來水不能喝，這是吳敦義當市長時的高雄",2018-10-22 12:16:02+08:00,風傳媒,https://tw.news.yahoo.com/把25年前韓國瑜打人事件當英雄看-陳水扁批-吳敦義-災難政治學-的表現-041602562.html
【Yahoo論壇／林青弘】柯文哲是否一再說謊？,"柯文哲市長在台北市北投區七星公園造勢，行動競選總部的大卡車開進公園，違規臨停。競辦被開罰六張罰單，罰款金額合計為1.8萬元，公園處認定柯競辦申辦活動與原先申請目的不符合，保證金3萬元依法沒收。
4.8萬元對於柯市長來說，不痛不癢。明知故犯，繼續違規，假文創、真造勢，罰款可由柯粉捐款繳交，首都市長帶頭違法違規，果然是「改變成真，惡夢發生；惡夢成真，持續發生」。
柯市長應該問問自己是否一再說謊，對市民沒有履行誠信義務。話說2014年4、5月期間，柯醫師是否因為募款不佳，競選總部財務出了問題，需要陳佩琪醫師的娘家，解約定存來資助？柯P購買6500萬房產，是不是在2011年向柯爸柯媽借貸1000萬元？如果柯P自稱政治上他是白手起家，不靠爸也不靠媽，這是不是公然說謊？如果靠老婆的娘家解約定存，才能度過2014年選戰中的財務困難，難道這不是依靠老婆的爸爸與媽媽？
當促轉會「東廠事件」發生時，柯P很輕鬆說張天欽只是一位律師。實際上，應該問問張富美女士，當柯P被公懲會議決降二級改敘，柯P聲請再審議的法律諮詢，難道不是張天欽律師幫忙？柯粉高喊1124滅東廠，是不是一起也把柯P滅了？柯P不把張天欽當年幫忙訴訟的事件講清楚說明白，見風轉舵、避重就輕，這能稱為正直有誠信？
柯市長又說女生不化妝上街會嚇人，難怪陳佩琪醫師在媒體鏡頭出現時，一定化妝裝扮。柯媽媽在1020造勢會場上，也有塗抹口紅、輕妝粉飾，想必這兩位對於柯P很重要的女人，都能明白柯P內心的想法。
七星公園的園遊會，原本要鼓勵文創商品，柯市長的行動競總大卡車故意違規臨停，在公園開起選舉造勢大會。台上的市府官員包含柯P老師也就是衛生局長，也有副市長陳景峻，更有柯P力挺的三位市議員站台，難道這些人吃飽沒事幹，一起為文創商品當志工？
為了選舉造勢，柯競辦的工作人員都出動了，要說這不是選舉活動，難道柯競辦人員當起園遊會志工，促銷文創商品？柯競辦那位斯文小帥哥，看起來應該憨厚老實，怎會認為柯競辦在七星公園的活動不是選舉造勢？近朱者赤，近墨者黑，是不是睜眼說瞎話？
柯P執政四年，他說「垃圾不分藍綠」，既然如此，討好藍綠的柯P，在柯粉眼中，是否比「垃圾」更不如？柯P訴求「改變成真，持續發生」，但是五大弊案在與財團妥協後，成為五大案，大巨蛋慢慢蓋好，以前的公安問題是不是「金玉其外，敗絮其中」，被包裝起來，眼不見為淨？柯市長繼續執政四年，恐怕會讓台北市「改變成真，惡夢發生；惡夢成真，持續發生」。
台北市民可以想想，如果相信忠厚老實靠得住，票投丁守中比柯P好太多了。如果厭惡五星旗隨便亂飄，票投姚文智也比柯P牢靠許多。選擇柯P連任，只是一種抉擇，不必然是絕對正確。為了不讓其他五都相對進步神速，台北市民應該認真想想，換人做看看，可能會讓台北市的未來更好更美。
柯P如果敗選，可以競選總統，但是丁守中或姚文智勝選，一定會做完四年任期。台北市民有能力做出智慧的選擇，過去的錯誤，1124可以改變成真，不再惡夢發生。
 
 
＿＿＿＿＿＿＿＿＿＿＿＿＿＿
【Yahoo論壇】係網友、專家的意見交流平台，文章僅反映作者意見，不代表Yahoo奇摩立場 >>> 投稿去",2018-10-22 14:00:26+08:00,林青弘,https://tw.news.yahoo.com/【yahoo論壇%EF%BC%8F林青弘】柯文哲是否一再說謊？-060026361.html
【Yahoo論壇】民進黨誰最怕陳其邁落選？,"讀者投書：廖念漢（現任奇策盟文宣部主任、曾任海巡署專聘講師）
 《長平之戰》是戰國時代最戲劇化的轉折點，至此之後，秦國的統一只是時間早晚問題。悲劇的產生就是趙孝成王輕易聽信秦相范睢「反間計」，說秦軍「最害怕」的是趙軍年輕將領趙括，而非垂垂老矣的廉頗。趙王旋即以「紙上談兵」的趙括，撤換沉穩的老將廉頗。一如所料趙括率全軍出擊，致在長平被白起包圍殲滅，40萬趙軍被活埋。
在中國的歷史上，這種老招的反間計層出不窮，皇太極也是用了這種「物美價廉」的反間計，讓多疑的明崇禎「因害怕」袁與清軍密謀，糊裡糊塗的就斬殺了清軍最忌憚的第一勇將–袁崇煥，加速了大明王朝的崩潰。
綜觀反間計之所以一再得逞，就建立在君臣好相疑，功高易震主的猜忌心之上。而政壇如沙場，雙方你虛我偽，爾虞我詐，都希望對手陣營上下離心離德，就可趁虛而入。就以今年最熱鬧的高雄選戰為例，當韓國瑜從《八月桂花香》開始，其聲勢直逼陳其邁，與陳的民調形成五五波時，反間計就開始上映了。
近日有二篇試探性的文章悄然冒出，第一篇是《如果韓國瑜選不上 國民黨的罪魁禍首是誰？》；第二篇是《害怕韓國瑜落選的那些人》。綜觀這兩篇文章最終目的都如出一轍，前言鋪陳的冠冕堂皇，然實際是項莊舞劍志在沛公，都直指因為怕韓選不上，立刻搶黨主席位置，並順勢奪取2020總統大位。
所謂「卑鄙是卑鄙者的通行證」。如果這種膚淺的「反間論調」能成立，那最喜歡看到陳其邁落選的人，不就是賴院長、以及在初選時殺到見骨的幾位候選人不是嗎?（不必苦等八年）。而同時賴的黨主席及2020的入場卷也都垂手可得，花媽的影響力也大幅衰退，一石二鳥，功德院長的內心世界不就是這樣解讀嗎?
再觀察賴院長日前以神級效率，一個晚上就改用《觀塘換深澳》，藉以「即刻救援」新北蘇貞昌之危，但可惜戰機已過，極可能落得蘇沒救成，而鄭文燦也慘遭滅頂，試問彼時民進黨中誰受益最大?
西諺云:「勝利者有100個爸爸，失敗就變孤兒」。韓國瑜在高雄以及全台人氣沸騰，連蟄伏已久的王金平都「蠢蠢欲動」，出錢出力。揆諸韓能有今天的氣勢，誠如筆者日前投書-《裁驛站明崇禎成就李闖王，搶北農蔡英文造就韓國瑜》，一切都是天意與天命；一切都是自助、人助與天助。反觀那些「搶燈光，想沾光」的政治人物，在韓剛上任時有誰多看他一眼?
所以筆者仍然重復強調，韓國瑜此刻該感謝的生命中的貴人們；第一是段宜康；第二是王世堅；第三是吳音寧，因為沒有吳的平庸無能，就無法凸顯韓的精明幹練；第四是蔡總統的擇善固執、非吳音寧不用的鋼鐵般意志。
狄更斯有句名言:這是一個最黑暗的年代，這也是一個最光明的年代。因為韓國瑜，此刻是20年來國民黨最團結的時刻，從韓國瑜去年就任高雄市黨部主委開始，吳主席在募款極度艱困下，其與夫人每周均往返高雄1-2次，給予精神及物質上的支助與鼓勵，將高雄的人脈逐漸向韓凝聚拉攏，讓陸軍得以接替韓的空軍，使韓得以度過最冷淡的前8個月。
「自古時勢造英雄，豈有英雄等燈光」。古今中外的英雄人物，自己的資質固然重要，但乏人賞識亦難出頭。是以沒有漢武帝就沒有霍去病；沒有羅斯福就沒有艾森豪；相同之理，沒有朱立的慧眼獨具，就沒有侯友宜的新北舞台，沒有吳敦義的強力薦舉，就無韓國瑜的高雄「諾曼地」登陸。
今年的國民黨中生代人才輩出，不論是全力輔選、公而忘私的周錫瑋，主動讓賢的蔣萬安，氣度寬宏的江啟臣等人，再加上四年後的韓國瑜、侯友宜、盧秀燕、陳學聖等市長們；以實際治理市政績效為成績單，以民意選擇為依歸，讓國民黨脫胎換骨後，進行一場公平的世代交替。
最後言歸正傳。奉勸這兩篇投書的作者，不妨去瀏覽讀者眾多的留言，要用「反間計」，就要多用功，用的高明些!誠如一位網友寫得傳神，韓國瑜氣勢低迷時，罵吳敦義輔選不夠賣力；等韓氣勢高漲之際，卻又疑乖賣直，說韓會搶了黨主席的位置!這種「父子騎驢」沒有邏輯，相互矛盾的反間計，還是少用為妙，免的臉被打腫。
＿＿＿＿＿＿＿＿＿＿＿＿＿＿
【Yahoo論壇】係網友、專家的意見交流平台，文章僅反映作者意見，不代表Yahoo奇摩立場 >>> 投稿去
 ",2018-10-22 13:57:44+08:00,讀者投書,https://tw.news.yahoo.com/【yahoo論壇】民進黨誰最怕陳其邁落選？-055744241.html
抽中籤王 韓國瑜車隊掃街 民眾路邊紛比讚,"國民黨高雄市長候選人韓國瑜聲勢上漲，又抽中一號籤王，心情相當興奮，立即展開掃街拜，經過的地方，民眾紛紛豎起大姆指比讚。韓國瑜力主拼經濟，政治放一邊的訴求，打動北漂青年的心，更有民進黨的死忠麥克風手，為了北漂的兒孫，轉向投身藍營，為韓國瑜打拼。
抽中一號籤王的國民黨，高雄市長候選人韓國瑜，步出抽籤會場，被興奮的支持者，包圍到幾乎走不動，而韓國瑜的掃街車隊，沿途經過的地方，樓上的住戶，錯身而過的汽機車駕駛人，還是早餐店前的年輕人，屋頂上的維修工，路邊的小黃司機，紛紛向他比起大姆指，韓國瑜的旋風掃向，港都的每一個角落。
國民黨高雄市長候選人 韓國瑜：我們只有一個心願，拼高雄的經濟，高雄這個城市睡太久了，真的全台灣最有潛力，最好條件的就是高雄，我們一定要把高雄拼起來，這是我選市長最主要的目的，我們要把沉睡的巨人喚醒，高雄睡太久了起來，大步向前，讓我們整個台灣刮目相看。
而在韓國瑜的陣營裏，還出現了原本是死忠的，民進黨員張銘誌，向來是民進黨麥克風手，二十年來為民進黨掌麥助選，這次卻轉身投入藍營。讓北漂的家人，回到高雄就業，韓國瑜救經濟的訴求，吸引到不少的支持者，也希望這鼓力量，化為實際的選票翻轉高雄。",2018-10-22 13:32:00+08:00,EBC東森新聞,https://tw.news.yahoo.com/抽中籤王-韓國瑜車隊掃街-民眾路邊紛比讚-053200211.html
百年土地公上香祈福 陳學聖提五不原則,"【綜合報導】普悠瑪列車出軌意外舉國震驚如同國難，令社會大眾、競選團隊及陳學聖本人都感到十分沉痛。陳學聖本人第一時間得知消息後，旋即透過臉書表示哀痛，同時宣布暫停及取消今日與競選相關之活動，一早陳學聖前往中壢永福宮拜拜，為普悠瑪號事件的受難者祈禱，願傷者平安，亡者安息，並重申今日五不原則。
截至目前為止，普悠瑪列車出軌意外已造成傷亡共計205人，其中18人死亡，187人受傷，而受傷乘客中有10人重傷。競選辦公室主任武久齡表示，委員已暫停22日所有競選行程，只前往有百年歷史的土地公上香，為普悠瑪號出軌意外傷亡者祈禱上蒼庇佑。
武九齡說，22日一早就緊急指示競選幹部及同仁暫停相關競選活動，但台鐵意外事故發生突然，部分活動涉及人員廣泛以至於無法於第一時間取消，但主辦單位及參與人員對台鐵重大意外事故均有所悉，因此一切活動從簡，改以聚會祈福方式進行。
武九齡強調，委員對於意外事故造成的傷亡表示沉痛，特別指示同仁若受邀代表出席例行性活動，務必遵守五不原則，「不穿競選背心、不發競選文宣、不懸掛競選旗幟、不造勢拜票、不喊競選口號」。
此外，有關捐血事宜，昨晚委員也透過Line群組號召同仁挽袖捐血，呼籲同仁睡飽睡足才能捐血，雖然衛福部一早發新聞稿表示血庫不缺血，但同仁還是很熱血，紛紛響應捐血活動，希望能為意外受傷的旅客盡棉薄之力，未來如有缺血情形，也會在第一時間發動捐血。",2018-10-22 13:17:44+08:00,民眾日報,https://tw.news.yahoo.com/百年土地公上香祈福-陳學聖提五不原則-051744093.html
侯友宜客家後援總會成立！誓言拓展客文化據點,"國民黨新北市長參選人侯友宜昨（21）日宣布成立「厚友誼新北市客家後援總會」並表示，若當選新北事長，將持續深耕客語教學，並將客家文化園區第二期結合在地生態景觀，形成「三鶯人文藝術廊道」，更打造美食、工藝與文創商品的客家街廓，成為交流客語和客文化的親切場域。
侯友宜致詞時指出，自己客家語講得不好，但客家朋友從不苛責他，這是因為自己懂「客家鄉親想要什麼」；且新北市是第1個成立客家網路電台的地方政府，未來也會持續開拓客家文化創新並保留傳統，結合客家文化園區第二期在地生態景觀打造「三鶯人文藝術廊道」，並結合美食、工藝與文創商品的客家街廓，凝聚客家族群的歸屬感。
國民黨新北市長參選人侯友宜舉辦「厚友誼新北市客家後援總會」。（侯友宜總部提供）
侯友宜說「客家人重情重義重友誼，就像侯友宜永遠抱持的正向力量，他會一起帶著客家人樸實、盡責的硬頸精神，為國家創造繁榮。」
而對於民進黨新北市長參選人蘇貞昌日前說，侯友宜不會講客家語。侯則回應，語言並不是問題，而是大家願不願意走再一起，為客家族群打拼，客家朋友相信他這七年多來站在一起的努力，如客家網路電台、客語推行委員會，未來他還會在客家鄉親的建議下拓展客文化據點。
針對前總統馬英九強調「直轄市應該辯論」。侯友宜表示，在還沒辯論前，很多的政策要先說清楚，這樣才有辦法去談論辯論的形式與方向；且自己從沒拒絕辯論，只是希望先將政策的態度說清楚。（推薦閱讀：TVBS民調》侯友宜支持度50%，蘇貞昌30%，新北市長選舉差距拉大）
國民黨新北市長參選人侯友宜強調，客家朋友相信他這七年多來的努力，如客家網路電台、客語推行委員會，未來也會在客家鄉親的建議下拓展客文化據點。。（侯友宜總部提供）
 
相關報導● 悲！普悠瑪翻覆 侯友宜向玄天上帝祈福● 賴清德諷「沒牙齒怎塗氟」挺蘇貞昌 侯友宜：賴揆打臉自家政策",2018-10-22 13:15:20+08:00,風傳媒,https://tw.news.yahoo.com/侯友宜客家後援總會成立-誓言拓展客文化據點-051520710.html
選不過別人就栽贓韓國瑜是黑道？ 孫大千：綠營比小學生還幼稚,"【民眾新聞網綜合報導】民進黨立委段宜康昨在臉書表示，國民黨主席吳敦也認為看中韓國瑜打人的本事才提名他選高雄，「下次乾脆提名殺過人的」。對此，國民黨籍前立委孫大千表示，因為選舉選不過別人，就乾脆栽贓韓國瑜是一個黑道，這簡直比一個小學生還要幼稚，更指出民進黨奇妙的「黑道邏輯」：
 
邏輯一，因為韓國瑜在立法院曾經毆打過陳水扁。照這個邏輯，民進黨有80%的立法委員都是黑道。
 
邏輯二，因為韓國瑜認識羅福助。照這個邏輯，在立法院曾經跟羅福助共事的立法委員，都有可能是黑道。那麼，認識陳哲男的人，都是貪污犯嗎？認識陳致中的人，都是嫖客嗎？
 
邏輯三，韓國瑜曾在24年前，因關說被拒，挾怨報復逼走好官僚。這種含血噴人的烏龍指控，到現在也完全提不出相關的人事時地的資訊。照這個邏輯，民進黨從執政以來，大量的逼退政府內有藍營色彩的政府官員，那麼民進黨的高層通通都是黑道了嗎？
 
邏輯四，韓國瑜曾經陪同黑道小弟出面自首投案。其實，這根本就是許多民意代表常常提供的選民服務。照這個邏輯，那麼這些民意代表也通通都是黑道了嗎？
 
孫大千認為，如果民進黨在高雄執政了20年，最後選舉還選不過一個「黑道」，那麼民進黨的政治人物還不如一頭去撞死算了，或者，也可以考慮吞曲棍球自盡。

【Yahoo 帶你看風向 由你看真相】Yahoo新聞2018高雄選戰專輯看韓國瑜完整政見、民調聲量看陳其邁完整政見、民調聲量六都市長綜合民調
相關新聞影音",2018-10-22 11:07:13+08:00,民眾日報,https://tw.news.yahoo.com/選不過別人就栽贓韓國瑜是黑道-孫大千-綠營比小學生還幼稚-030713635.html
普悠瑪翻覆釀百死傷 韓國瑜「這舉動」網友狂讚,"台鐵昨（ 21 ）日下午 4 點 50 分傳出普悠瑪列車翻車意外， 6432 次樹林開往台東的普悠瑪，在冬山=蘇澳新站間發生列車出軌事故，有超過 6 節車廂翻覆，造成 18 人罹難、 187 人輕重傷。前總統馬英九當時正在宜蘭輔選，得知消息後主動取消宜蘭支持特勤的警力，讓宜蘭警消可以全力投入救災。此外，國民黨高雄市長候選人韓國瑜今（ 22 ）日凌晨也於臉書發文，下午將至高雄捐血中心，為傷者盡一份心力。

韓國瑜昨晚間表示，傍晚在行程當中得知普悠瑪列車的嚴重事故，心中的震驚與難過無法形容，感嘆道「我知道任何善後都無法挽回這些珍貴生命，唯能祈願逝者安息、傷者平安」，並希望當局盡快完成救援工作、釐清真正的事故原因以杜絕後患。

▲國民黨高雄市長候選人韓國瑜。（圖／ NOWnews 資料圖片）

韓國瑜指出，這場意外傷者超過百人，血庫一定告急，呼籲各方好友能和他一起挽起袖子獻血相助。今凌晨他再度透過貼文表示，難過震驚之餘，也希望能透過自己小小的力量，為普悠瑪列車事故盡一份心力，並預計今下午前往高雄捐血中心，最後祈福傷者們一切平安。

網友們紛紛回應「我在美國，買好機票了，回高雄投票給你」、「響應韓總，今天我也要去捐，宜蘭人留」、「韓總加油辛苦了！」「韓國瑜市長，謝謝您」、「為站在第一線的工作人員加油，為傷者祈福，韓總加油」；不過也有網友指出「新聞說現在不用捐血，庫存夠用，現在捐是浪費」、「血有保存期限，現在捐是浪費，請多多宣導」。
更多 NOWnews 今日新聞報導 影／普悠瑪翻覆意外 救災人員：看見父母對子女的愛 影／普悠瑪傾倒車廂已扶正 檢方逐車搜索採證調查",2018-10-22 10:28:45+08:00,今日新聞NOWnews,https://tw.news.yahoo.com/普悠瑪翻覆釀百死傷-韓國瑜-這舉動-網友狂讚-022845881.html
黃偉哲競選總部開幕 蔡英文、賴清德合體造勢,"選戰倒數一個多月，民進黨台南市長候選人黃偉哲競選總部週日（21日）開幕，總統蔡英文、行政院長賴清德還有立法院長蘇嘉全等綠營重量級大咖齊聚，力挺黃偉哲。民進黨在最後階段強調團結凝聚人氣，現場氣氛相當熱絡。
滿滿支持者將現場擠得水洩不通，民進黨台南市長候選人黃偉哲競選總部開幕，綠營重量級大咖南下齊聚。
送上包粽好彩頭，行政院長賴清德還有立法院長蘇嘉全，一左一右牽起黃偉哲的手，將氣氛炒到高點。
總統蔡英文也壓軸現身，以黨主席的身分高聲疾呼，希望綠營支持者團結力挺黃偉哲，一定要守住台南綠地。
傳達對台南鄉親的誠懇和熱情，黃偉哲的城市願景館也在同一天開幕，展現他為大台南擘劃的未來藍圖。
黃偉哲說：「天時地利都有了台南欠的是人和，欠一個要為大家規畫未來城市願景的市長，咱有信心讓工廠搬進來（發展），讓我們的年輕人都能搬回來。」
文化首府、產經重鎮、智慧新都、創生城鄉與希望家園，黃偉哲五大政見主軸，要讓世界看見台南。
（民視新聞／廖錦雄 台南市報導）",2018-10-22 10:17:52+08:00,民視,https://tw.news.yahoo.com/黃偉哲競選總部開幕-蔡賴合體造勢-010907084.html
讚韓國瑜打扁 扁怒批吳敦義得意囂張,"政治中心／台北報導
國民黨主席吳敦義日前到花蓮縣輔選表示，當年韓國瑜當立委，打陳水扁那次，「我很認同跟敬佩，認為他允文允武，最適合當高雄市長」，對此，前總統陳水扁今（22）日在臉書「新勇哥物語」批評這是吳的「災難政治學」，吳的得意囂張之情溢於言表，「還真的以為他提名韓國瑜參選高雄市長贏定了」。
▲陳水扁回憶當年被揍事件，無奈的說「我是幫榮民在講話」。（圖／三立新聞）
陳水扁說，吳敦義把25年前的打人事件拿出來捧為文武雙全的英雄看待，「是非不明，黑白不分，不是很可怕嗎？」他回憶，1993年5月，韓國瑜因不滿他的發言，不只大動作翻桌，還推倒他導致受傷住院，事隔一天，有幫派分子聚集到立法院，衝突場面導致10多人受傷掛彩，韓國瑜遭到質疑找黑道兄弟助陣，風波一度越演越烈。
陳水扁表示，韓國瑜後來道歉，「我願意為我肢體衝突，向陳水扁委員致歉」，他無奈的回應，「我是幫榮民在講話」，因為他是對政府的榮民就養照護問題向退輔會提出質詢，認為「不能把榮民當豬養，不能說榮民是豬」。而韓聽到「豬」就抓狂，陳水扁說，這跟他小時候家裡養豬賣錢供給讀書，生活經驗完全不同。  
更多三立新聞網報導綠保13縣市搶新北 藍目標11縣市韓國瑜爆黑史 他：乾脆提名殺過人的韓揍扁吳敦義讚允文允武 陳致中怒了為何韓國瑜選高雄？吳敦義爆當年揍扁",2018-10-22 09:30:31+08:00,三立新聞網 setn.com,https://tw.news.yahoo.com/讚韓國瑜打扁-扁怒批吳敦義得意囂張-005031925.html
重提曾被韓國瑜推倒住院 扁轟：還真以為高雄市長贏定了,"國民黨主席吳敦義日前到國民黨花蓮縣黨部，替議員、鄉鎮長等各級首長民代候選人幹部加油打氣時，提到國民黨高雄市長候選人韓國瑜1993年當立委時，曾因不滿陳水扁發言推倒對方一事，誇讚那一戰讓他很肯定韓國瑜「允文允武」。此事讓陳水扁氣炸，他今天(22日)在臉書上痛批吳敦義居然「鼓勵暴力」，並狠酸「還真的以為他提名韓國瑜參選高雄市長贏定了，得意忘形的囂張之情溢於言表。」
1993年5月立法院國防委員會審查榮民改革相關預算，時任立委的韓國瑜因不滿陳水扁發言，於是衝過去翻倒陳水扁的桌子，還用左手打了陳水扁一巴掌，陳水扁因此住院3天。吳敦義20日重提此事，並稱韓國瑜打陳水扁那一次「我很認同跟敬佩」，誇讚韓國瑜允文允武。

對此，今天陳水扁說「我不相信吳敦義主席會講鼓勵暴力的話！？我也不相信吳敦義主席會認為，當年韓國瑜公然在國會殿堂打阿扁打到住院是對的！？」他直指吳敦義此舉根本是「災難政治學」的表現，並狠酸「還真的以為他提名韓國瑜參選高雄市長贏定了，得意忘形的囂張之情溢於言表！竟把25年前的打人事件拿出來捧為文武雙全的英雄看待！是非不明，黑白不分，不是很可怕嗎？！」
陳水扁解釋當年自己就政府的榮民就養照護問題向退輔會提出質詢，認為「不能把榮民當豬養，不是說榮民是豬」。他指出，韓國瑜聽到「豬」就抓狂，「這跟阿扁小時候家裡養豬賣錢供給讀書，生活經驗完全不同！」

《TVBS》提醒您：
◎拒絕暴力 請撥打113
◎反霸凌專線：0800-200-885
◎尊重身體自主權 請撥打113、110

2018全台選戰風雲 TVBS最新大數據分析

更多 TVBS 報導5月讚高雄今喊衰退挨轟！館長：8月淹大水「現形記」 韓國瑜抽中「籤王」1號 高喊：沉睡20年巨人站起來 「你們大人多噁心！」韓國瑜小編嗆翻2名嘴 網封新學姐",2018-10-22 08:47:53+08:00,TVBS新聞網,https://tw.news.yahoo.com/重提曾被韓國瑜推倒住院-扁轟-還真以為高雄市長贏定了-004753522.html
